<h2>Plants Toxic to Cats</h2>
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/adam-and-eve">,Adam-and-Eve,Arum maculatum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-wonder-tree">,African Wonder Tree,Ricinus communis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/alocasia">,Alocasia,Alocasia spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/aloe">,Aloe,Aloe vera
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/amaryllis">,Amaryllis,Amaryllis spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/ambrosia-mexicana">,Ambrosia Mexicana,Chenopodium botrys
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-bittersweet">,American Bittersweet,Celastrus scandens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-holly">,American Holly,Ilex opaca
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-mandrake">,American Mandrake,Podophyllum peltatum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/american-yew">,American Yew,Taxus canadensus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/andromeda-japonica">,Andromeda Japonica,Pieris japonica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/angelica-tree">,Angelica Tree,Aralia spinosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/apple">,Apple,Malus sylvestrus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/apricot">,Apricot,Prunus armeniaca
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/arrow-head-vine">,Arrow-Head Vine,Syngonium podophyllum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/arum">,Arum,Arum maculatum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/arum-lily">,Arum Lily,Zantedeschia aethiopica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/asian-lily">,Asian Lily,Lilium asiatica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/asparagus-fern">,Asparagus Fern,Asparagus densiflorus cv sprengeri
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/australian-ivy-palm">,Australian Ivy Palm,Brassaia actinophylla
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/autumn-crocus">,Autumn Crocus,Colchicum autumnale
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/azalea">,Azalea,Rhododendron spp
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/baby-doll-ti-plant">,Baby Doll Ti Plant,Cordyline terminalis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-aloe">,Barbados Aloe,Aloe barbadensis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-lily">,Barbados Lily,Hippeastrum spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/barbados-pride">,Barbados Pride,Caesalpinia pulcherrima
