文本,文本1,文本2
    對狗有毒   幾乎所有酢漿草 Oxalis corniculata屬的成員）都含有草酸鈣，根據攝入量的不同，草酸鈣對狗的毒性可能從輕度到重度不等。咀嚼植物的任何部分都會導致過度流涎、食慾不振、口腔或喉嚨周圍灼痛、吞嚥困難、腹瀉和嘔吐。在更極端的情況下，可能會發生震顫、腎功能衰竭甚至死亡——但是，這種情況很少見，因為大多數狗都無法度過第一次令人不快的咬傷。     ,    對貓有毒   攝入酢漿草可能會對貓的健康造成輕微到嚴重的風險，具體取決於攝入量。建議獸醫注意。有毒化合物存在於植物的所有部位，中毒更直接的症狀包括嘔吐、腹瀉、流口水和食慾不振。在極少數情況下，中毒會導致腎功能衰竭或死亡。     ,
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
,,
,,
,,
,,
    對貓有毒   紫章所有部分對貓都是有毒的，可導致輕度至中度疾病。攝入會導致輕微的胃腸道不適，如腹瀉、嘔吐和食慾不振，而僅僅咀嚼植物會導致口腔周圍的皮膚刺激、舌頭腫脹和嘴唇發炎。     ,,
,,
,,
    對人體有輕微毒性        紫藤是一種有毒植物，如果接觸或攝入，會引起人類的不良反應。症狀可以從輕度到中度不等，儘管症狀可能是有害的並持續數天。植物的所有部分，尤其是種子和豆莢，由於它們含有糖苷而有毒。如果食用這些植物部分，會引起虛弱、眩暈、口腔和咽喉灼痛以及胃痛等症狀；如果觸摸，可能會導致皮疹。在花園里處理這種植物時，最好戴上手套並避免直接接觸。    關於毒性的進一步資訊    ,    對狗有毒   Wisteria sinensis屬內的大多數植物對狗具有中度至高度毒性，因此如果您懷疑您的狗一直在吃這種植物，請諮詢獸醫。 紫藤的葉子和花朵中，但在種子莢中濃度最高。與許多其他對狗不友好的植物不同，該物種味道不錯，因此狗可能會大量食用。中毒跡象包括腹瀉、嘔吐、意識模糊、虛弱和虛脫。嚴重者可出現癱瘓、昏迷或死亡。    關於毒性的進一步資訊    ,    對貓有毒   中等毒性，貓應避免食用紫藤 。根據消耗的量，貓會表現出包括嘔吐（有時帶血）、腹瀉和抑鬱等症狀。如果您懷疑您的貓食用了這種植物的任何部分，請聯繫您的獸醫以獲取有關該怎麼做的建議。    關於毒性的進一步資訊    
,,
,,
,,
    對人體有輕微毒性        如果攝入或觸摸紫茉莉可能會導致人類出現中毒症狀。這些症狀往往是輕微的。植物的所有部分都有毒，但種子、根和汁液尤其值得關注。攝入這種植物會引起頭痛、嘔吐、腹瀉和胃痛，而接觸其汁液會引起皮炎。在你的花園里處理植物時戴上手套，並留意在這種植物周圍的孩子，以確保他們不會不小心吃掉它的任何部分。    關於毒性的進一步資訊    ,,
,,
,,
,,
    對人體有輕微毒性        紫花牽牛含有生物鹼，如果攝入對人體有毒。中毒的嚴重程度很低，通常只會引起嘔吐和腹瀉，但大量中毒可能會引起混亂和焦慮。種子需要最謹慎，因為它們含有最高濃度的有毒化合物。孩子們最有可能被這種植物中毒，因為他們被這種植物大而明亮的花朵所吸引。    關於毒性的進一步資訊    ,    對狗有毒   食用某些紫花牽牛 Ipomoea purpurea屬的成員）的種子會導致狗輕度至重度中毒。幾種有害生物鹼高度集中在種子中。輕度中毒的症狀包括嘔吐、腹瀉、意識模糊或失去協調能力。更嚴重的中毒可能導致幻覺、震顫或肝功能衰竭。 紫花牽牛中毒的情況下，有必要去看獸醫。    關於毒性的進一步資訊    ,    對貓有毒   藤蔓、花朵，尤其是紫花牽牛種子對貓有中度到重度的毒性，可能需要就醫。少量攝入可能會導致類似於過敏反應的症狀。在更大的接觸中，症狀更嚴重，包括嘔吐、定向障礙、腹瀉、震顫和幻覺。    關於毒性的進一步資訊    
,,
    對人體有輕微毒性           關於毒性的進一步資訊    ,,
,,
,,
,,
