文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11
酢漿草,Oxalis corniculata," 黃花酢漿草, 鳩酸, 鹽酸仔草, 鹽酸草, 三葉酸, 酢醬草", 維管束植物門 , 木蘭綱 , Oxalidales , 酢漿草科 , 酢漿草屬 , 酢漿草 , 對狗有毒 , 對貓有毒 ,
醉嬌花,Hamelia patens, 希美利, 維管束植物門 , 木蘭綱 , 龍膽目 , 茜草科 , 長隔木屬 , 醉嬌花 ,,,
醉蝶花,Tarenaya hassleriana," 紫龍須, 醉蝴蝶, 蜘蛛花, 西洋鳳蝶草", 維管束植物門 , 木蘭綱 , 十字花目 , 白花菜科 , 醉蝶花屬 , 醉蝶花 , 對人體有輕微毒性 ,,
鑽果大蒜芥,Sisymbrium officinale,, 維管束植物門 , 木蘭綱 , 十字花目 , 十字花科 , 抪娘蒿屬 , 鑽果大蒜芥 ,,,
棕竹,Rhapis excelsa," 漢園竹, 拐仔棕, 棕櫚竹, 筋頭竹, 虎散竹, 琉球竹", 維管束植物門 , 百合綱 , 棕櫚目 , 棕櫚科 , 棕竹屬 , 棕竹 ,,,
棕葉狗尾草,Setaria palmifolia,, 維管束植物門 , 百合綱 , 禾本目 , 禾本科 , 狗尾草屬 , 棕葉狗尾草 ,,,
棕櫚,Trachycarpus fortunei," 棕樹, 棕衣樹, 棕板, 棕皮, 椶櫚, 布棕, 椶, 蓑衣棕, 中國扇棕, 唐棕櫚", 維管束植物門 , 百合綱 , 棕櫚目 , 棕櫚科 , 棕櫚屬 , 棕櫚 ,,,
紫錐菊,Echinacea purpurea, 松果菊, 維管束植物門 , 木蘭綱 , 菊目 , 菊科 , 紫錐花屬 , 紫錐菊 ,,,
紫章,Senecio crassissimus," 紫金章, 紫龍", 維管束植物門 , 木蘭綱 , 菊目 , 菊科 , 黃菀屬 , 紫章 , 對貓有毒 ,,
紫雲籐,Podranea ricasoliana, 粉凌霄, 維管束植物門 , 木蘭綱 , 脣形目 , 紫葳科 , 非洲凌霄屬 , 紫雲籐 ,,,
紫薇,Lagerstroemia indica," 怕養花, 怕癢樹, 無皮樹, 紅薇花, 癢癢花, 佛相花, 癢癢樹, 紫金花, 西洋水楊梅", 維管束植物門 , 木蘭綱 , 桃金娘目 , 千屈菜科 , 紫薇屬 , 紫薇 ,,,
紫藤,Wisteria sinensis," 葛藤, 藤蘿樹, 黃環, 藤蘿", 維管束植物門 , 木蘭綱 , 豆目 , 豆科 , 紫藤屬 , 紫藤 , 對人體有輕微毒性 , 對狗有毒 , 對貓有毒 
